id,data,dia_semana,hora_inicio,hora_fim,data_fim,pilar,titulo_pt,titulo_es,titulo_en,descricao_pt,descricao_es,descricao_en,local_pt,local_es,local_en,palestrante,marca,logo_url,inscricao,link_inscricao,destaque
of-17-01,2026-09-17,quinta-feira,10:00,20:00,,oficial,UTMB Expo,UTMB Expo,UTMB Expo,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-17-02,2026-09-17,quinta-feira,10:00,20:00,,oficial,Retirada de kits,Retiro de kits,Bib pickup,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,sim
of-17-03,2026-09-17,quinta-feira,12:00,20:00,,oficial,Drop bag,Drop bag,Drop bag,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-17-04,2026-09-17,quinta-feira,16:00,,,oficial,Abertura oficial,Apertura oficial,Official opening,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,sim
of-17-05,2026-09-17,quinta-feira,17:30,,,oficial,Briefing tecnico PTR 108,Briefing tecnico PTR 108,PTR 108 technical briefing,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-18-01,2026-09-18,sexta-feira,10:00,21:00,,oficial,UTMB Expo,UTMB Expo,UTMB Expo,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-18-02,2026-09-18,sexta-feira,10:00,21:00,,oficial,Retirada de kits,Retiro de kits,Bib pickup,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-18-03,2026-09-18,sexta-feira,10:00,17:00,,oficial,Drop bag e guarda volume,Drop bag y guarda equipaje,Drop bag and bag storage,Limite para os atletas da PTR 108 deixarem as bags antes da largada das 19h.,Limite para que los atletas de la PTR 108 dejen las bags antes de la salida de las 19h.,Deadline for PTR 108 athletes to leave their bags before the 19h start.,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-18-04,2026-09-18,sexta-feira,12:00,,,oficial,Apresentacao de atletas de elite,Presentacion de atletas de elite,Elite athlete presentation,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-18-05,2026-09-18,sexta-feira,13:00,,,oficial,Briefing tecnico PTR 58,Briefing tecnico PTR 58,PTR 58 technical briefing,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-18-06,2026-09-18,sexta-feira,13:30,,,oficial,Briefing tecnico PTR 34,Briefing tecnico PTR 34,PTR 34 technical briefing,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-18-07,2026-09-18,sexta-feira,14:00,,,oficial,Briefing tecnico PTR 25,Briefing tecnico PTR 25,PTR 25 technical briefing,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-18-08,2026-09-18,sexta-feira,14:30,,,oficial,Briefing tecnico PTR 17,Briefing tecnico PTR 17,PTR 17 technical briefing,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-18-09,2026-09-18,sexta-feira,19:00,,,oficial,Largada PTR 108,Salida PTR 108,PTR 108 start,,,,Arena de largada e chegada,Arena de salida y llegada,Start and finish arena,,Paraty Brazil by UTMB,,livre,,sim
of-19-01,2026-09-19,sabado,04:00,08:00,,oficial,"Guarda volume, deposito para as largadas matinais","Guarda equipaje, deposito para las salidas matinales","Bag storage, drop off for the morning starts",,,,Arena e Expo,Arena y Expo,Arena and Expo,,Paraty Brazil by UTMB,,livre,,
of-19-02,2026-09-19,sabado,05:00,,,oficial,Largada PTR 58,Salida PTR 58,PTR 58 start,,,,Arena de largada e chegada,Arena de salida y llegada,Start and finish arena,,Paraty Brazil by UTMB,,livre,,sim
of-19-03,2026-09-19,sabado,06:00,,,oficial,Largada PTR 34,Salida PTR 34,PTR 34 start,,,,Arena de largada e chegada,Arena de salida y llegada,Start and finish arena,,Paraty Brazil by UTMB,,livre,,sim
of-19-04,2026-09-19,sabado,08:00,,,oficial,Largada PTR 25,Salida PTR 25,PTR 25 start,,,,Arena de largada e chegada,Arena de salida y llegada,Start and finish arena,,Paraty Brazil by UTMB,,livre,,sim
of-19-05,2026-09-19,sabado,08:00,16:00,,oficial,"Retirada de kits, ultimo dia","Retiro de kits, ultimo dia","Bib pickup, last day",,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,sim
of-19-06,2026-09-19,sabado,10:00,18:00,,oficial,UTMB Expo,UTMB Expo,UTMB Expo,,,,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
of-19-07,2026-09-19,sabado,10:00,19:00,,oficial,"Drop bag e guarda volume, retirada","Drop bag y guarda equipaje, retiro","Drop bag and bag storage, collection",Chegada prevista das bags a arena as 16h.,Llegada prevista de las bags a la arena a las 16h.,Bags are expected to arrive at the arena at 16h.,Expo,Expo,Expo,,Paraty Brazil by UTMB,,livre,,
